Principle#,Principle Description,Warehouse#,Warehouse Description,Location#,Location Description,Item#,Item Description,Size,OnHand,OnSales,OnHand Base,OnSales Base,Stock Value OnHand,Stock Value OnSales,Tonnage,WAS,SWC,Age of Goods
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,854615,BAYCLIN 1LT LEMON (1X12),CTN-PCS,     0.   3.  0. 0 ,     0.   3.  0. 0 ,3,3,"31,226","31,226",0,.,0,0
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,696826,BAYGON COIL STANDART MAX (1X60),,    77.  11.  0. 0 ,    77.  11.  0. 0 ,"4,631","4,631","10,929,484","10,929,484",0,2.012,35,242
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,696743,BAYGON COIL JMB MAX DB IS 10PSG (1X36),CTN-PCS,    22.  19.  0. 0 ,    22.  19.  0. 0 ,811,811,"4,015,204","4,015,204",0,.,0,0
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,696138,KIWI PASTE 100ML SP BLACK (1X72),CTN-PCS,     5.  62.  0. 0 ,     5.  62.  0. 0 ,422,422,"15,288,651","15,288,651",0,0.014,30,208
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,696134,KIWI PASTE 45ML SP BROWN (1X48),CTN-PCS,     2.   2.  0. 0 ,     2.   2.  0. 0 ,98,98,"1,954,206","1,954,206",0,0.019,5,36
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,695975,KIWI PASTE 45ML SP BLACK (1X48),CTN-PCS,    61.  24.  0. 0 ,    61.  18.  0. 0 ,"2,952","2,946","58,865,478","58,745,832",0,11.025,5,37
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,695974,KIWI LIQ WAX RICH S&P 75ML NEUTRAL (1X24),CTN-PCS,     2.   5.  0. 0 ,     2.   2.  0. 0 ,53,50,"1,794,922","1,693,323",0,0.005,11,69
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,695973,KIWI PASTE 17.5ML SP BROWN (1X144),CTN-PCS,     5.  56.  0. 0 ,     5.  56.  0. 0 ,776,776,"7,137,656","7,137,656",0,0.039,20,139
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,695972,KIWI PASTE 17.5ML SP BLACK (1X144),CTN-PCS,    15.  63.  0. 0 ,    15.  57.  0. 0 ,"2,223","2,217","20,447,176","20,391,988",0,1.133,8,56
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,695971,KIWI PASTE 45ML SP NEUTRAL (1X48) NEW,,     3.   1.  0. 0 ,     3.   1.  0. 0 ,145,145,"2,891,428","2,891,428",0,0.006,24,174
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,692298,BOP 10ML CITRUS FRESH (1X24),CTN-PCS,     4.   1.  0. 0 ,     4.   1.  0. 0 ,97,97,"1,781,119","1,781,119",0,.,0,0
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,688724,BOS 600ML FRAGRANCEFREE (1X12),CTN-PCS,     0.   2.  0. 0 ,     0.   2.  0. 0 ,2,2,"55,925","55,925",0,0.007,0,2
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,688722,BOS 800ML FRAGRANCEFREE (1X12),CTN-PCS,     9.   5.  0. 0 ,     9.   2.  0. 0 ,113,110,"3,976,329","3,870,763",0,0.005,23,161
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,688719,BOS 175ML FRAGRANCEFREE (1X24),CTN-PCS,     7.  15.  0. 0 ,     7.  15.  0. 0 ,183,183,"1,533,251","1,533,251",0,0.015,12,84
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,685835,BGY KERTAS AKSI CEPAT LAV (1X4),CTN-PCK,     8.   1.  0. 0 ,     8.   1.  0. 0 ,33,33,"1,521,773","1,521,773",0,.,0,0
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,682008,BYG LIQ REFIL 33ML EUCALYPTUS NEW (1X12X12),CTN-PCK-PCS,     3.   5. 11. 0 ,     3.   5. 11. 0 ,503,503,"8,074,186","8,074,186",0,0.016,31,222
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,677058.,BYG LIQ REFIL 33ML REGULAR VM (1X12X12),CTN-PCK-PCS,     4.   4.  9. 0 ,     4.   4.  9. 0 ,633,633,"10,160,954","10,160,954",0,0.012,53,372
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,676075,BAYGON KERTAS AKSI CEPAT FB (1X4X30),CTN-RCG-PCS,     1.   3.  6. 0 ,     1.   3.  6. 0 ,216,216,"332,022","332,022",0,.,0,0
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,673176,OFF! FOR FAMILY 150GR (1X12),CTN-PCS,     2.   9.  0. 0 ,     2.   9.  0. 0 ,33,33,"673,175","673,175",0,.,0,0
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,654009,AUTAN SPRITZ 100ML REFRESH (1X12X12),CTN-PCK-PCS,     6.   1.  6. 0 ,     6.   1.  3. 0 ,882,879,"10,388,143","10,352,809",0,1.029,5,35
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,407430,BAR 200ML FLOWER GARDEN GT MP (1X12),,    67.   6.  0. 0 ,    67.   6.  0. 0 ,810,810,"8,614,350","8,614,350",0,68.000,1,7
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,407314,BAR 200ML CITRUL FRESH GT MP (1X12),,    52.   8.  0. 0 ,    52.   8.  0. 0 ,632,632,"6,721,320","6,721,320",0,73.010,1,5
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,395211,BAYGON COIL JMB MAX GREEN (1X60),,    92.  57.  0. 0 ,    92.  57.  0. 0 ,"5,577","5,577","17,805,409","17,805,409",0,10.027,9,62
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,395186,BAYGON COIL JMB MAX LAV NEW (1X60),,   211.  57.  0. 0 ,   211.  57.  0. 0 ,"12,717","12,717","40,601,057","40,601,057",0,16.051,13,87
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,395185,BAYGON COIL JMB MAX DB NEW (1X60),,   357.   3.  0. 0 ,   356.  58.  0. 0 ,"21,423","21,418","68,396,141","68,380,178",0,31.047,11,78
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,391634,BAR 675ML CITRUS FRESH (1X12),,  1188.   3.  0. 0 ,  1188.   0.  0. 0 ,"14,259","14,256","461,329,840","461,232,779",0,95.009,12,86
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,391632,BAR 400ML CITRUS FRESH (1X12),,   566.   2.  0. 0 ,   565.  11.  0. 0 ,"6,794","6,791","138,560,777","138,499,593",0,38.001,15,103
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,391261,AUTAN SPRITZ 80 ML SAKURA (1X12X12),,    12.   3.  2. 0 ,    12.   2. 11. 0 ,"1,766","1,763","20,800,301","20,764,967",0,0.016,110,757
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,391219,AUTAN SPRITZ 80 ML CITRUS (1X12X12),,     1.   8.  8. 0 ,     1.   8.  5. 0 ,248,245,"2,920,996","2,885,661",0,0.017,15,103
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,391217,AUTAN SPRITZ 80 ML REFRESH (1X12X12),,    30.  10.  8. 0 ,    30.  10.  8. 0 ,"4,448","4,448","52,389,478","52,389,478",0,0.001,"4,448",33360
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,388052,KIWI LIQ WAX RICH S&P 75ML BLACK (1X24),,   131.   3.  0. 0 ,   130.  21.  0. 0 ,"3,147","3,141","106,577,750","106,374,551",0,3.003,42,289
101,PT. JOHNSON HOME HYGIENE PRODUCTS,201001,GUDANG UTAMA,201R01,RAK UTAMA,387553,KIWI LIQ SHINE&PRO S&P 30ML BROWN (1X48),,     1.  13.  0. 0 ,     1.  13.  0. 0 ,61,61,"931,023","931,023",0,0.010,6,44
